"ion","theoretical_mid","day","organ","feed","experimental_mid","diff","metabolite"
"M0",0.831089042352267,5,"l","d2o",0.657481957396727,-0.17360708495554,"norcoclaurine"
"M0",0.831089042352267,5,"l","h2o",0.851557303095196,0.0204682607429283,"norcoclaurine"
"M0",0.831089042352267,10,"l","d2o",0.66878245709842,-0.162306585253847,"norcoclaurine"
"M0",0.831089042352267,10,"l","h2o",0.844261460756469,0.0131724184042021,"norcoclaurine"
"M0",0.831089042352267,15,"l","d2o",0.513221057711999,-0.317867984640269,"norcoclaurine"
"M0",0.831089042352267,15,"l","h2o",0.846680378163602,0.0155913358113351,"norcoclaurine"
"M1",0.149432263594776,5,"l","d2o",0.342518042603273,0.193085779008497,"norcoclaurine"
"M1",0.149432263594776,5,"l","h2o",0.148442696904804,-0.000989566689971799,"norcoclaurine"
"M1",0.149432263594776,10,"l","d2o",0.33121754290158,0.181785279306804,"norcoclaurine"
"M1",0.149432263594776,10,"l","h2o",0.15573853924353,0.00630627564875436,"norcoclaurine"
"M1",0.149432263594776,15,"l","d2o",0.486778942288001,0.337346678693225,"norcoclaurine"
"M1",0.149432263594776,15,"l","h2o",0.153319621836398,0.00388735824162148,"norcoclaurine"
"M0",0.822007959789438,5,"l","d2o",0.564237195858068,-0.257770763931369,"coclaurine"
"M0",0.822007959789438,5,"l","h2o",0.821782326178716,-0.000225633610722031,"coclaurine"
"M0",0.822007959789438,10,"l","d2o",0.625027373476239,-0.196980586313199,"coclaurine"
"M0",0.822007959789438,10,"l","h2o",0.809884180115896,-0.0121237796735414,"coclaurine"
"M0",0.822007959789438,15,"l","d2o",0.347328769149416,-0.474679190640021,"coclaurine"
"M0",0.822007959789438,15,"l","h2o",0.82438180187541,0.00237384208597213,"coclaurine"
"M1",0.156879156461107,5,"l","d2o",0.273403797806529,0.116524641345422,"coclaurine"
"M1",0.156879156461107,5,"l","h2o",0.159576140911492,0.00269698445038496,"coclaurine"
"M1",0.156879156461107,10,"l","d2o",0.264430021061757,0.10755086460065,"coclaurine"
"M1",0.156879156461107,10,"l","h2o",0.169100502953227,0.0122213464921198,"coclaurine"
"M1",0.156879156461107,15,"l","d2o",0.335731064257226,0.178851907796119,"coclaurine"
"M1",0.156879156461107,15,"l","h2o",0.155755323231583,-0.001123833229524,"coclaurine"
"M2",0.0192142829063992,5,"l","d2o",0.162359006335403,0.143144723429003,"coclaurine"
"M2",0.0192142829063992,5,"l","h2o",0.0186415329097926,-0.000572749996606635,"coclaurine"
"M2",0.0192142829063992,10,"l","d2o",0.110542605462005,0.0913283225556054,"coclaurine"
"M2",0.0192142829063992,10,"l","h2o",0.0210153169308771,0.00180103402447785,"coclaurine"
"M2",0.0192142829063992,15,"l","d2o",0.316940166593358,0.297725883686959,"coclaurine"
"M2",0.0192142829063992,15,"l","h2o",0.0198628748930074,0.000648591986608164,"coclaurine"
"M0",0.924043531373198,5,"l","d2o",0.799615809197601,-0.124427722175597,"methylcoclaurine"
"M0",0.924043531373198,5,"l","h2o",0.837876131177721,-0.0861674001954769,"methylcoclaurine"
"M0",0.924043531373198,10,"l","d2o",0.80775590097458,-0.116287630398618,"methylcoclaurine"
"M0",0.924043531373198,10,"l","h2o",0.87149988345636,-0.0525436479168377,"methylcoclaurine"
"M0",0.924043531373198,15,"l","d2o",0.908686475913747,-0.0153570554594513,"methylcoclaurine"
"M0",0.924043531373198,15,"l","h2o",1,0.0759564686268022,"methylcoclaurine"
"M1",0.0674281188340239,5,"l","d2o",0.200384190802399,0.132956071968375,"methylcoclaurine"
"M1",0.0674281188340239,5,"l","h2o",0.162123868822279,0.094695749988255,"methylcoclaurine"
"M1",0.0674281188340239,10,"l","d2o",0.19224409902542,0.124815980191396,"methylcoclaurine"
"M1",0.0674281188340239,10,"l","h2o",0.12850011654364,0.061071997709616,"methylcoclaurine"
"M1",0.0674281188340239,15,"l","d2o",0.0913135240862534,0.0238854052522295,"methylcoclaurine"
"M1",0.0674281188340239,15,"l","h2o",0,-0.0674281188340239,"methylcoclaurine"
"M0",0.802187357183361,5,"l","d2o",0.745421195509621,-0.0567661616737397,"reticuline"
"M0",0.802187357183361,5,"l","h2o",0.815645021642626,0.0134576644592648,"reticuline"
"M0",0.802187357183361,10,"l","d2o",0.823152173757821,0.0209648165744598,"reticuline"
"M0",0.802187357183361,10,"l","h2o",0.823626142904736,0.0214387857213754,"reticuline"
"M0",0.802187357183361,15,"l","d2o",0.804448678894612,0.00226132171125126,"reticuline"
"M0",0.802187357183361,15,"l","h2o",0.8249140428561,0.0227266856727386,"reticuline"
"M1",0.171123523432291,5,"l","d2o",0.254578804490379,0.0834552810580878,"reticuline"
"M1",0.171123523432291,5,"l","h2o",0.184354978357374,0.0132314549250832,"reticuline"
"M1",0.171123523432291,10,"l","d2o",0.176847826242179,0.0057243028098882,"reticuline"
"M1",0.171123523432291,10,"l","h2o",0.176373857095264,0.00525033366297253,"reticuline"
"M1",0.171123523432291,15,"l","d2o",0.195551321105388,0.0244277976730966,"reticuline"
"M1",0.171123523432291,15,"l","h2o",0.1750859571439,0.00396243371160934,"reticuline"
"M0",0.604769193763085,5,"l","d2o",0.594653250201958,-0.0101159435611261,"acutumine"
"M0",0.604769193763085,5,"l","h2o",0.605966041002871,0.00119684723978597,"acutumine"
"M0",0.604769193763085,10,"l","d2o",0.597537140872172,-0.007232052890913,"acutumine"
"M0",0.604769193763085,10,"l","h2o",0.603895513760747,-0.000873680002337451,"acutumine"
"M0",0.604769193763085,15,"l","d2o",0.567507329540527,-0.0372618642225576,"acutumine"
"M0",0.604769193763085,15,"l","h2o",0.601002668603275,-0.00376652515980913,"acutumine"
"M1",0.129540355938042,5,"l","d2o",0.136762021053047,0.00722166511500497,"acutumine"
"M1",0.129540355938042,5,"l","h2o",0.129605616631971,6.52606939292311e-05,"acutumine"
"M1",0.129540355938042,10,"l","d2o",0.137463215838748,0.00792285990070621,"acutumine"
"M1",0.129540355938042,10,"l","h2o",0.130034310213088,0.000493954275045561,"acutumine"
"M1",0.129540355938042,15,"l","d2o",0.156886917841184,0.0273465619031418,"acutumine"
"M1",0.129540355938042,15,"l","h2o",0.130869741437468,0.00132938549942638,"acutumine"
"M2",0.214154540465398,5,"l","d2o",0.211626874632978,-0.00252766583241976,"acutumine"
"M2",0.214154540465398,5,"l","h2o",0.212808095160617,-0.00134644530478042,"acutumine"
"M2",0.214154540465398,10,"l","d2o",0.209592822415098,-0.00456171805030034,"acutumine"
"M2",0.214154540465398,10,"l","h2o",0.213325613504472,-0.000828926960925708,"acutumine"
"M2",0.214154540465398,15,"l","d2o",0.206160507369594,-0.0079940330958039,"acutumine"
"M2",0.214154540465398,15,"l","h2o",0.214581038878008,0.000426498412610388,"acutumine"
"M3",0.0438908071125157,5,"l","d2o",0.0480350130569062,0.00414420594439049,"acutumine"
"M3",0.0438908071125157,5,"l","h2o",0.0438769678815371,-1.38392309786267e-05,"acutumine"
"M3",0.0438908071125157,10,"l","d2o",0.046710323346977,0.00281951623446126,"acutumine"
"M3",0.0438908071125157,10,"l","h2o",0.0448118041441661,0.000920997031650453,"acutumine"
"M3",0.0438908071125157,15,"l","d2o",0.055805601507807,0.0119147943952913,"acutumine"
"M3",0.0438908071125157,15,"l","h2o",0.0454991918359992,0.00160838472348348,"acutumine"
"M4",0.00684600688180154,5,"l","d2o",0.00763594964944915,0.000789942767647609,"acutumine"
"M4",0.00684600688180154,5,"l","h2o",0.00664911425261176,-0.00019689262918978,"acutumine"
"M4",0.00684600688180154,10,"l","d2o",0.0074484701571633,0.00060246327536176,"acutumine"
"M4",0.00684600688180154,10,"l","h2o",0.0068582435560581,1.22366742565634e-05,"acutumine"
"M4",0.00684600688180154,15,"l","d2o",0.0111490340237419,0.0043030271419404,"acutumine"
"M4",0.00684600688180154,15,"l","h2o",0.00692410870820788,7.81018264063415e-05,"acutumine"
"M5",0.000799095839158277,5,"l","d2o",0.00128689140566101,0.000487795566502736,"acutumine"
"M5",0.000799095839158277,5,"l","h2o",0.00109416507039182,0.000295069231233542,"acutumine"
"M5",0.000799095839158277,10,"l","d2o",0.00124802736984239,0.000448931530684115,"acutumine"
"M5",0.000799095839158277,10,"l","h2o",0.00107451482146886,0.000275418982310585,"acutumine"
"M5",0.000799095839158277,15,"l","d2o",0.00249060971714633,0.00169151387798805,"acutumine"
"M5",0.000799095839158277,15,"l","h2o",0.00112325053704079,0.000324154697882511,"acutumine"
"M0",0.611446523685848,5,"l","d2o",0.568760563716804,-0.0426859599690438,"acutumidine"
"M0",0.611446523685848,5,"l","h2o",0.619625351697131,0.00817882801128278,"acutumidine"
"M0",0.611446523685848,10,"l","d2o",0.597470335024807,-0.0139761886610409,"acutumidine"
"M0",0.611446523685848,10,"l","h2o",0.613244092038753,0.00179756835290523,"acutumidine"
"M0",0.611446523685848,15,"l","d2o",0.594546857906809,-0.0168996657790389,"acutumidine"
"M0",0.611446523685848,15,"l","h2o",0.613690180818729,0.00224365713288166,"acutumidine"
"M1",0.124216738358116,5,"l","d2o",0.162909251363844,0.038692513005728,"acutumidine"
"M1",0.124216738358116,5,"l","h2o",0.123051769990946,-0.00116496836716939,"acutumidine"
"M1",0.124216738358116,10,"l","d2o",0.140955908595145,0.0167391702370289,"acutumidine"
"M1",0.124216738358116,10,"l","h2o",0.125188193489436,0.000971455131320353,"acutumidine"
"M1",0.124216738358116,15,"l","d2o",0.142240728642791,0.0180239902846754,"acutumidine"
"M1",0.124216738358116,15,"l","h2o",0.124996318585771,0.000779580227655757,"acutumidine"
"M2",0.215145449751285,5,"l","d2o",0.207615353116441,-0.00753009663484425,"acutumidine"
"M2",0.215145449751285,5,"l","h2o",0.212273405226711,-0.00287204452457429,"acutumidine"
"M2",0.215145449751285,10,"l","d2o",0.208780898511883,-0.00636455123940252,"acutumidine"
"M2",0.215145449751285,10,"l","h2o",0.215254745104899,0.000109295353613481,"acutumidine"
"M2",0.215145449751285,15,"l","d2o",0.210715534584439,-0.0044299151668461,"acutumidine"
"M2",0.215145449751285,15,"l","h2o",0.215298264207092,0.000152814455806949,"acutumidine"
"M3",0.0419978800354155,5,"l","d2o",0.0517497587868673,0.00975187875145179,"acutumidine"
"M3",0.0419978800354155,5,"l","h2o",0.0387823189025963,-0.00321556113281922,"acutumidine"
"M3",0.0419978800354155,10,"l","d2o",0.0451880938891628,0.00319021385374735,"acutumidine"
"M3",0.0419978800354155,10,"l","h2o",0.039751883861719,-0.00224599617369652,"acutumidine"
"M3",0.0419978800354155,15,"l","d2o",0.0450165138171116,0.00301863378169606,"acutumidine"
"M3",0.0419978800354155,15,"l","h2o",0.0398047712262437,-0.00219310880917175,"acutumidine"
"M4",0.00645732484891803,5,"l","d2o",0.00896507301604393,0.0025077481671259,"acutumidine"
"M4",0.00645732484891803,5,"l","h2o",0.00626715418261597,-0.00019017066630206,"acutumidine"
"M4",0.00645732484891803,10,"l","d2o",0.00760476397900296,0.00114743913008493,"acutumidine"
"M4",0.00645732484891803,10,"l","h2o",0.00656108550519332,0.000103760656275292,"acutumidine"
"M4",0.00645732484891803,15,"l","d2o",0.00748036504884942,0.00102304019993139,"acutumidine"
"M4",0.00645732484891803,15,"l","h2o",0.00621046516216311,-0.000246859686754921,"acutumidine"
