"day","organ","feed","neutron_excess","metabolite"
5,"l","d2o",0.0148527522314228,"norcoclaurine"
5,"l","h2o",-7.61205146132153e-05,"norcoclaurine"
10,"l","d2o",0.0139834830236003,"norcoclaurine"
10,"l","h2o",0.000485098126827258,"norcoclaurine"
15,"l","d2o",0.0259497445148635,"norcoclaurine"
15,"l","h2o",0.000299027557047806,"norcoclaurine"
5,"l","d2o",0.0251758805127143,"coclaurine"
5,"l","h2o",9.69677785732309e-05,"coclaurine"
10,"l","d2o",0.0181379693569913,"coclaurine"
10,"l","h2o",0.000988963408817216,"coclaurine"
15,"l","d2o",0.0483939796981273,"coclaurine"
15,"l","h2o",1.08344214807704e-05,"coclaurine"
5,"l","d2o",0.00699768799833552,"methylcoclaurine"
5,"l","h2o",0.00498398684148711,"methylcoclaurine"
10,"l","d2o",0.00656926211533666,"methylcoclaurine"
10,"l","h2o",0.00321431566892716,"methylcoclaurine"
15,"l","d2o",0.00125712659222261,"methylcoclaurine"
15,"l","h2o",-0.00354884835968547,"methylcoclaurine"
5,"l","d2o",0.00397406100276609,"reticuline"
5,"l","h2o",0.000630069282146819,"reticuline"
10,"l","d2o",0.000272585848089914,"reticuline"
10,"l","h2o",0.000250015888712978,"reticuline"
15,"l","d2o",0.00116322846062365,"reticuline"
15,"l","h2o",0.000188687319600445,"reticuline"
5,"l","d2o",0.00087816087767135,"acutumine"
5,"l","h2o",-8.61466073547351e-05,"acutumine"
10,"l","d2o",0.00051793405471117,"acutumine"
10,"l","h2o",0.000131527524205421,"acutumine"
15,"l","d2o",0.00316402421109173,"acutumine"
15,"l","h2o",0.000388726838701544,"acutumine"
5,"l","d2o",0.00314594743294493,"acutumidine"
5,"l","h2o",-0.000865821173999194,"acutumidine"
10,"l","d2o",0.000908523291990282,"acutumidine"
10,"l","h2o",-0.000256645002872054,"acutumidine"
15,"l","d2o",0.00111561110478985,"acutumidine"
15,"l","h2o",-0.000324077801763264,"acutumidine"
